fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	seed	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240510 062202	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1417	100	9906	28474323.838081	36
20240510 062743	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	565	100	9800	28442938.5307346	37
20240510 063229	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	2048	732	8965	26025000	38
20240510 063909	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1061	131	8501	28451782.6086957	39
20240510 064528	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	710	122	8328	28545955.0224888	40
20240510 065051	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	2048	1447	8830	25280854.5727136	41
20240510 065709	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	733	121	7886	28470515.7421289	42
20240510 070319	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	694	124	8197	28607080.9595202	43
20240510 071546	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1355	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	396	860	9588	26196659.6701649	44
20240510 072238	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	2037	134	8486	28544218.8905547	45
20240510 072838	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	90	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1555	247	7711	27863041.9790105	46
20240510 073514	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1616	137	7655	28583185.9070465	47
20240510 074159	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	103	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1766	130	8594	28496680.6596702	48
20240510 074838	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1442	141	7878	28516704.6476762	49
20240510 075540	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	402	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1517	548	9168	27309253.3733133	50
20240510 075942	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	176	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	8	1077	6131	22481182.9085457	51
20240510 080431	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	134	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1081	1521	8786	25410875.5622189	52
20240510 080939	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	134	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1507	796	9258	26447769.1154423	53
20240510 081342	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	823	2000	9352	24101241.3793103	54
20240510 082049	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	1506	100	9906	28474323.838081	55
20240510 082654	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	711	100	9908	28464785.6071964	56
20240510 083854	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1397	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	2048	1045	9557	25836466.2668666	57
20240510 084503	1063	296073	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.01	0.5	100019	717	100	9908	28464905.5472264	58
