envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
218	2826000	2946000	2826000	2706000	2706000	2946000	
219	2823000	2943000	2823000	2703000	2703000	2943000	
220	2820000	2940000	2820000	2700000	2700000	2940000	
221	2841000	2937000	2817000	2697000	2697000	3057000	
222	2862000	2934000	2814000	2814000	2694000	3054000	
223	2883000	2931000	2811000	2811000	2811000	3051000	
224	2880000	2928000	2808000	2808000	2808000	3048000	
225	2901000	2925000	2805000	2805000	2805000	3165000	
226	2922000	2922000	2802000	2922000	2802000	3162000	
227	2943000	2919000	2919000	2919000	2799000	3159000	
228	2940000	2916000	2916000	2916000	2796000	3156000	
229	2937000	2913000	2913000	2913000	2793000	3153000	
230	2958000	2910000	2910000	3030000	2790000	3150000	
231	2955000	2907000	2907000	3027000	2787000	3147000	
232	2952000	2904000	2904000	3024000	2784000	3144000	
233	2973000	2901000	2901000	3141000	2781000	3141000	
234	2994000	2898000	2898000	3258000	2778000	3138000	
235	2991000	2895000	2895000	3255000	2775000	3135000	
236	3060000	3012000	2892000	3252000	2892000	3252000	
237	3081000	3009000	3009000	3249000	2889000	3249000	
238	3078000	3006000	3006000	3246000	2886000	3246000	
239	3075000	3003000	3003000	3243000	2883000	3243000	
240	3096000	3120000	3e+06	3240000	2880000	3240000	
241	3141000	3117000	3117000	3237000	2997000	3237000	
242	3138000	3114000	3114000	3234000	2994000	3234000	
243	3135000	3111000	3111000	3231000	2991000	3231000	
244	3156000	3228000	3108000	3228000	2988000	3228000	
245	3201000	3225000	3225000	3345000	2985000	3225000	
246	3198000	3222000	3222000	3342000	2982000	3222000	
247	3195000	3219000	3219000	3339000	2979000	3219000	
248	3216000	3216000	3336000	3336000	2976000	3216000	
249	3237000	3213000	3333000	3333000	2973000	3333000	
250	3258000	3210000	3450000	3330000	2970000	3330000	
251	3255000	3207000	3447000	3327000	2967000	3327000	
252	3276000	3204000	3444000	3324000	3084000	3324000	
253	3273000	3201000	3441000	3321000	3081000	3321000	
254	3270000	3198000	3438000	3318000	3078000	3318000	
255	3267000	3195000	3435000	3315000	3075000	3315000	
256	3312000	3192000	3432000	3432000	3192000	3312000	
257	3309000	3189000	3429000	3429000	3189000	3309000	
258	3306000	3186000	3426000	3426000	3186000	3306000	
259	3303000	3183000	3423000	3423000	3183000	3303000	
260	3348000	3180000	3420000	3540000	3300000	3300000	
261	3369000	3177000	3537000	3537000	3297000	3297000	
262	3366000	3174000	3534000	3534000	3294000	3294000	
263	3435000	3291000	3531000	3531000	3411000	3411000	
264	3456000	3288000	3528000	3648000	3408000	3408000	
265	3477000	3285000	3525000	3645000	3525000	3405000	
266	3474000	3282000	3522000	3642000	3522000	3402000	
267	3471000	3279000	3519000	3639000	3519000	3399000	
268	3468000	3276000	3516000	3636000	3516000	3396000	
269	3489000	3393000	3513000	3633000	3513000	3393000	
270	3486000	3390000	3510000	3630000	3510000	3390000	
271	3483000	3387000	3507000	3627000	3507000	3387000	
272	3504000	3384000	3504000	3744000	3504000	3384000	
273	3501000	3381000	3501000	3741000	3501000	3381000	
274	3498000	3378000	3498000	3738000	3498000	3378000	
275	3567000	3495000	3615000	3735000	3495000	3495000	
276	3588000	3492000	3612000	3732000	3612000	3492000	
277	3585000	3489000	3609000	3729000	3609000	3489000	
278	3582000	3486000	3606000	3726000	3606000	3486000	
279	3579000	3483000	3603000	3723000	3603000	3483000	
280	3576000	3480000	3600000	3720000	3600000	3480000	
281	3597000	3477000	3597000	3717000	3597000	3597000	
282	3618000	3474000	3714000	3714000	3594000	3594000	
283	3615000	3471000	3711000	3711000	3591000	3591000	
284	3612000	3468000	3708000	3708000	3588000	3588000	
285	3633000	3465000	3705000	3825000	3585000	3585000	
286	3630000	3462000	3702000	3822000	3582000	3582000	
287	3627000	3459000	3699000	3819000	3579000	3579000	
288	3624000	3456000	3696000	3816000	3576000	3576000	
289	3621000	3453000	3693000	3813000	3573000	3573000	
290	3666000	3450000	3810000	3810000	3690000	3570000	
291	3663000	3447000	3807000	3807000	3687000	3567000	
292	3684000	3444000	3804000	3924000	3684000	3564000	
293	3705000	3561000	3801000	3921000	3681000	3561000	
294	3702000	3558000	3798000	3918000	3678000	3558000	
295	3699000	3555000	3795000	3915000	3675000	3555000	
296	3696000	3552000	3792000	3912000	3672000	3552000	
297	3693000	3549000	3789000	3909000	3669000	3549000	
298	3690000	3546000	3786000	3906000	3666000	3546000	
299	3711000	3543000	3783000	4023000	3663000	3543000	
300	3708000	3540000	3780000	4020000	3660000	3540000	
301	3705000	3537000	3777000	4017000	3657000	3537000	
302	3726000	3654000	3774000	4014000	3654000	3534000	
303	3747000	3651000	3891000	4011000	3651000	3531000	
304	3792000	3648000	3888000	4008000	3768000	3648000	
305	3789000	3645000	3885000	4005000	3765000	3645000	
306	3810000	3642000	3882000	4002000	3762000	3762000	
307	3807000	3639000	3879000	3999000	3759000	3759000	
308	3804000	3636000	3876000	3996000	3756000	3756000	
309	3801000	3633000	3873000	3993000	3753000	3753000	
310	3822000	3630000	3990000	3990000	3750000	3750000	
311	3819000	3627000	3987000	3987000	3747000	3747000	
312	3816000	3624000	3984000	3984000	3744000	3744000	
313	3813000	3621000	3981000	3981000	3741000	3741000	
314	3834000	3738000	3978000	3978000	3738000	3738000	
315	3855000	3735000	3975000	3975000	3735000	3855000	
316	3876000	3732000	4092000	3972000	3732000	3852000	
317	3897000	3729000	4089000	3969000	3849000	3849000	
318	3942000	3726000	4206000	4086000	3846000	3846000	
319	3963000	3723000	4323000	4083000	3843000	3843000	
320	3960000	3720000	4320000	4080000	3840000	3840000	
