envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
244	2388000	2268000	2628000	2388000	2388000	2268000	
245	2385000	2265000	2625000	2385000	2385000	2265000	
246	2382000	2262000	2622000	2382000	2382000	2262000	
247	2379000	2259000	2619000	2379000	2379000	2259000	
248	2376000	2256000	2616000	2376000	2376000	2256000	
249	2397000	2373000	2613000	2373000	2373000	2253000	
250	2418000	2370000	2730000	2370000	2370000	2250000	
251	2415000	2367000	2727000	2367000	2367000	2247000	
252	2412000	2364000	2724000	2364000	2364000	2244000	
253	2409000	2361000	2721000	2361000	2361000	2241000	
254	2406000	2358000	2718000	2358000	2358000	2238000	
255	2451000	2355000	2715000	2475000	2475000	2235000	
256	2448000	2352000	2712000	2472000	2472000	2232000	
257	2445000	2349000	2709000	2469000	2469000	2229000	
258	2442000	2346000	2706000	2466000	2466000	2226000	
259	2463000	2343000	2703000	2583000	2463000	2223000	
260	2484000	2340000	2700000	2580000	2580000	2220000	
261	2505000	2337000	2817000	2577000	2577000	2217000	
262	2526000	2334000	2814000	2574000	2574000	2334000	
263	2547000	2451000	2811000	2571000	2571000	2331000	
264	2568000	2448000	2928000	2568000	2568000	2328000	
265	2565000	2445000	2925000	2565000	2565000	2325000	
266	2586000	2442000	3042000	2562000	2562000	2322000	
267	2607000	2439000	3039000	2559000	2559000	2439000	
268	2604000	2436000	3036000	2556000	2556000	2436000	
269	2601000	2433000	3033000	2553000	2553000	2433000	
270	2598000	2430000	3030000	2550000	2550000	2430000	
271	2643000	2547000	3027000	2547000	2547000	2547000	
272	2688000	2544000	3144000	2544000	2664000	2544000	
273	2733000	2661000	3141000	2661000	2661000	2541000	
274	2730000	2658000	3138000	2658000	2658000	2538000	
275	2775000	2655000	3135000	2655000	2775000	2655000	
276	2796000	2652000	3132000	2772000	2772000	2652000	
277	2817000	2649000	3249000	2769000	2769000	2649000	
278	2814000	2646000	3246000	2766000	2766000	2646000	
279	2811000	2643000	3243000	2763000	2763000	2643000	
280	2808000	2640000	3240000	2760000	2760000	2640000	
281	2829000	2637000	3357000	2757000	2757000	2637000	
282	2874000	2634000	3354000	2874000	2874000	2634000	
283	2919000	2631000	3351000	2871000	2991000	2751000	
284	2916000	2628000	3348000	2868000	2988000	2748000	
285	2913000	2625000	3345000	2865000	2985000	2745000	
286	2910000	2622000	3342000	2862000	2982000	2742000	
287	2931000	2619000	3459000	2859000	2979000	2739000	
288	2952000	2736000	3456000	2856000	2976000	2736000	
289	2949000	2733000	3453000	2853000	2973000	2733000	
290	2946000	2730000	3450000	2850000	2970000	2730000	
291	2967000	2727000	3447000	2967000	2967000	2727000	
292	2964000	2724000	3444000	2964000	2964000	2724000	
293	2961000	2721000	3441000	2961000	2961000	2721000	
294	3006000	2718000	3558000	2958000	3078000	2718000	
295	3075000	2715000	3555000	3075000	3195000	2835000	
296	3072000	2712000	3552000	3072000	3192000	2832000	
297	3069000	2709000	3549000	3069000	3189000	2829000	
298	3090000	2706000	3546000	3066000	3306000	2826000	
299	3087000	2703000	3543000	3063000	3303000	2823000	
300	3132000	2820000	3540000	3060000	3420000	2820000	
301	3153000	2817000	3537000	3177000	3417000	2817000	
302	3174000	2814000	3534000	3294000	3414000	2814000	
303	3195000	2811000	3531000	3411000	3411000	2811000	
304	3216000	2808000	3528000	3408000	3408000	2928000	
305	3237000	2925000	3525000	3405000	3405000	2925000	
306	3306000	3042000	3522000	3402000	3522000	3042000	
307	3303000	3039000	3519000	3399000	3519000	3039000	
308	3300000	3036000	3516000	3396000	3516000	3036000	
309	3321000	3153000	3513000	3393000	3513000	3033000	
310	3318000	3150000	3510000	3390000	3510000	3030000	
311	3315000	3147000	3507000	3387000	3507000	3027000	
312	3336000	3144000	3624000	3384000	3504000	3024000	
313	3333000	3141000	3621000	3381000	3501000	3021000	
314	3330000	3138000	3618000	3378000	3498000	3018000	
315	3351000	3255000	3615000	3375000	3495000	3015000	
316	3348000	3252000	3612000	3372000	3492000	3012000	
317	3345000	3249000	3609000	3369000	3489000	3009000	
318	3366000	3246000	3606000	3366000	3606000	3006000	
319	3363000	3243000	3603000	3363000	3603000	3003000	
320	3360000	3240000	3600000	3360000	3600000	3e+06	
321	3357000	3237000	3597000	3357000	3597000	2997000	
322	3354000	3234000	3594000	3354000	3594000	2994000	
323	3399000	3231000	3711000	3351000	3591000	3111000	
324	3420000	3348000	3708000	3348000	3588000	3108000	
325	3441000	3345000	3705000	3345000	3585000	3225000	
326	3438000	3342000	3702000	3342000	3582000	3222000	
327	3435000	3339000	3699000	3339000	3579000	3219000	
328	3432000	3336000	3696000	3336000	3576000	3216000	
329	3453000	3333000	3693000	3333000	3693000	3213000	
330	3450000	3330000	3690000	3330000	3690000	3210000	
331	3447000	3327000	3687000	3327000	3687000	3207000	
332	3468000	3324000	3684000	3324000	3684000	3324000	
333	3489000	3321000	3681000	3321000	3801000	3321000	
334	3558000	3438000	3678000	3318000	3918000	3438000	
335	3579000	3435000	3675000	3315000	3915000	3555000	
336	3600000	3432000	3672000	3312000	3912000	3672000	
337	3621000	3429000	3669000	3309000	4029000	3669000	
338	3666000	3426000	3666000	3426000	4026000	3786000	
339	3663000	3423000	3663000	3423000	4023000	3783000	
340	3660000	3420000	3660000	3420000	4020000	3780000	
341	3681000	3417000	3657000	3417000	4017000	3897000	
342	3702000	3414000	3654000	3534000	4014000	3894000	
343	3723000	3531000	3651000	3531000	4011000	3891000	
344	3744000	3528000	3648000	3528000	4128000	3888000	
345	3741000	3525000	3645000	3525000	4125000	3885000	
346	3738000	3522000	3642000	3522000	4122000	3882000	
347	3783000	3639000	3639000	3639000	4119000	3879000	
348	3780000	3636000	3636000	3636000	4116000	3876000	
349	3801000	3633000	3633000	3753000	4113000	3873000	
350	3822000	3630000	3750000	3750000	4110000	3870000	
351	3819000	3627000	3747000	3747000	4107000	3867000	
352	3816000	3624000	3744000	3744000	4104000	3864000	
353	3837000	3621000	3741000	3861000	4101000	3861000	
354	3834000	3618000	3738000	3858000	4098000	3858000	
355	3879000	3615000	3735000	3975000	4215000	3855000	
356	3924000	3732000	3732000	4092000	4212000	3852000	
357	3945000	3729000	3729000	4209000	4209000	3849000	
358	3966000	3726000	3726000	4326000	4206000	3846000	
359	3987000	3723000	3723000	4443000	4203000	3843000	
360	4008000	3720000	3720000	4440000	4200000	3960000	
361	4029000	3717000	3717000	4437000	4197000	4077000	
362	4026000	3714000	3714000	4434000	4194000	4074000	
363	4047000	3711000	3711000	4431000	4311000	4071000	
364	4044000	3708000	3708000	4428000	4308000	4068000	
365	4065000	3705000	3705000	4545000	4305000	4065000	
366	4086000	3702000	3822000	4542000	4302000	4062000	
367	4083000	3699000	3819000	4539000	4299000	4059000	
368	4104000	3696000	3816000	4536000	4416000	4056000	
369	4125000	3693000	3813000	4533000	4533000	4053000	
370	4194000	3810000	3930000	4650000	4530000	4050000	
371	4239000	3927000	3927000	4647000	4647000	4047000	
372	4236000	3924000	3924000	4644000	4644000	4044000	
373	4257000	4041000	3921000	4641000	4641000	4041000	
374	4254000	4038000	3918000	4638000	4638000	4038000	
375	4251000	4035000	3915000	4635000	4635000	4035000	
376	4248000	4032000	3912000	4632000	4632000	4032000	
377	4245000	4029000	3909000	4629000	4629000	4029000	
378	4266000	4026000	3906000	4626000	4746000	4026000	
379	4263000	4023000	3903000	4623000	4743000	4023000	
380	4284000	4020000	4020000	4620000	4740000	4020000	
381	4305000	4017000	4017000	4737000	4737000	4017000	
382	4302000	4014000	4014000	4734000	4734000	4014000	
383	4299000	4011000	4011000	4731000	4731000	4011000	
384	4344000	4008000	4128000	4728000	4728000	4128000	
385	4341000	4005000	4125000	4725000	4725000	4125000	
386	4338000	4002000	4122000	4722000	4722000	4122000	
387	4359000	4119000	4119000	4719000	4719000	4119000	
388	4356000	4116000	4116000	4716000	4716000	4116000	
389	4353000	4113000	4113000	4713000	4713000	4113000	
390	4398000	4110000	4230000	4710000	4710000	4230000	
391	4443000	4227000	4347000	4707000	4707000	4227000	
392	4464000	4224000	4344000	4704000	4704000	4344000	
393	4509000	4221000	4461000	4701000	4701000	4461000	
394	4506000	4218000	4458000	4698000	4698000	4458000	
395	4551000	4215000	4575000	4815000	4695000	4455000	
396	4572000	4212000	4572000	4932000	4692000	4452000	
397	4569000	4209000	4569000	4929000	4689000	4449000	
398	4590000	4326000	4566000	4926000	4686000	4446000	
399	4611000	4323000	4683000	4923000	4683000	4443000	
400	4632000	4320000	4800000	4920000	4680000	4440000	
401	4629000	4317000	4797000	4917000	4677000	4437000	
402	4674000	4434000	4794000	5034000	4674000	4434000	
403	4719000	4431000	4791000	5151000	4791000	4431000	
404	4764000	4548000	4908000	5148000	4788000	4428000	
405	4761000	4545000	4905000	5145000	4785000	4425000	
406	4758000	4542000	4902000	5142000	4782000	4422000	
407	4755000	4539000	4899000	5139000	4779000	4419000	
408	4776000	4536000	4896000	5136000	4896000	4416000	
409	4797000	4533000	5013000	5133000	4893000	4413000	
410	4794000	4530000	5010000	5130000	4890000	4410000	
411	4815000	4647000	5007000	5127000	4887000	4407000	
412	4812000	4644000	5004000	5124000	4884000	4404000	
413	4833000	4641000	5001000	5121000	4881000	4521000	
