envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
315	3039000	3015000	3015000	3135000	2895000	3135000	
316	3036000	3012000	3012000	3132000	2892000	3132000	
317	3057000	3009000	3129000	3129000	2889000	3129000	
318	3078000	3006000	3246000	3126000	2886000	3126000	
319	3075000	3003000	3243000	3123000	2883000	3123000	
320	3120000	3120000	3240000	3120000	3e+06	3120000	
321	3165000	3117000	3237000	3237000	2997000	3237000	
322	3186000	3114000	3354000	3234000	2994000	3234000	
323	3231000	3111000	3471000	3231000	2991000	3351000	
324	3252000	3228000	3468000	3228000	2988000	3348000	
325	3273000	3225000	3465000	3345000	2985000	3345000	
326	3270000	3222000	3462000	3342000	2982000	3342000	
327	3291000	3219000	3459000	3459000	2979000	3339000	
328	3288000	3216000	3456000	3456000	2976000	3336000	
329	3309000	3333000	3453000	3453000	2973000	3333000	
330	3330000	3330000	3450000	3450000	3090000	3330000	
331	3327000	3327000	3447000	3447000	3087000	3327000	
332	3324000	3324000	3444000	3444000	3084000	3324000	
333	3369000	3441000	3441000	3441000	3201000	3321000	
334	3366000	3438000	3438000	3438000	3198000	3318000	
335	3411000	3555000	3435000	3555000	3195000	3315000	
336	3408000	3552000	3432000	3552000	3192000	3312000	
337	3429000	3549000	3429000	3549000	3189000	3429000	
338	3426000	3546000	3426000	3546000	3186000	3426000	
339	3471000	3663000	3543000	3543000	3183000	3423000	
340	3468000	3660000	3540000	3540000	3180000	3420000	
341	3489000	3657000	3537000	3537000	3297000	3417000	
342	3534000	3774000	3534000	3654000	3294000	3414000	
343	3579000	3771000	3531000	3771000	3411000	3411000	
344	3576000	3768000	3528000	3768000	3408000	3408000	
345	3573000	3765000	3525000	3765000	3405000	3405000	
346	3570000	3762000	3522000	3762000	3402000	3402000	
347	3615000	3759000	3519000	3879000	3519000	3399000	
348	3636000	3756000	3636000	3876000	3516000	3396000	
349	3633000	3753000	3633000	3873000	3513000	3393000	
350	3654000	3870000	3630000	3870000	3510000	3390000	
351	3675000	3867000	3627000	3867000	3627000	3387000	
352	3672000	3864000	3624000	3864000	3624000	3384000	
353	3741000	3981000	3621000	3861000	3741000	3501000	
354	3786000	3978000	3618000	3858000	3858000	3618000	
355	3831000	3975000	3615000	3975000	3855000	3735000	
356	3852000	3972000	3612000	4092000	3852000	3732000	
357	3897000	3969000	3729000	4089000	3849000	3849000	
358	3894000	3966000	3726000	4086000	3846000	3846000	
359	3915000	3963000	3723000	4083000	3843000	3963000	
360	3984000	3960000	3840000	4080000	3960000	4080000	
361	4005000	3957000	3837000	4197000	3957000	4077000	
362	4002000	3954000	3834000	4194000	3954000	4074000	
363	4023000	3951000	3951000	4191000	3951000	4071000	
364	4020000	3948000	3948000	4188000	3948000	4068000	
365	4041000	3945000	4065000	4185000	3945000	4065000	
366	4086000	3942000	4182000	4182000	3942000	4182000	
367	4083000	3939000	4179000	4179000	3939000	4179000	
368	4080000	3936000	4176000	4176000	3936000	4176000	
369	4101000	4053000	4173000	4173000	3933000	4173000	
370	4122000	4170000	4170000	4170000	3930000	4170000	
371	4119000	4167000	4167000	4167000	3927000	4167000	
372	4140000	4164000	4164000	4164000	3924000	4284000	
373	4161000	4161000	4161000	4161000	4041000	4281000	
374	4182000	4158000	4158000	4158000	4158000	4278000	
375	4203000	4155000	4155000	4155000	4155000	4395000	
376	4224000	4272000	4152000	4152000	4152000	4392000	
377	4221000	4269000	4149000	4149000	4149000	4389000	
378	4242000	4386000	4146000	4146000	4146000	4386000	
379	4239000	4383000	4143000	4143000	4143000	4383000	
380	4236000	4380000	4140000	4140000	4140000	4380000	
381	4281000	4377000	4257000	4257000	4137000	4377000	
382	4302000	4494000	4254000	4254000	4134000	4374000	
383	4323000	4491000	4371000	4251000	4131000	4371000	
384	4344000	4488000	4368000	4368000	4128000	4368000	
385	4341000	4485000	4365000	4365000	4125000	4365000	
386	4386000	4602000	4362000	4362000	4242000	4362000	
387	4455000	4719000	4479000	4359000	4239000	4479000	
388	4500000	4716000	4476000	4476000	4236000	4596000	
389	4521000	4833000	4473000	4473000	4233000	4593000	
390	4542000	4830000	4470000	4470000	4350000	4590000	
391	4587000	4827000	4467000	4467000	4467000	4707000	
392	4656000	4824000	4584000	4464000	4584000	4824000	
393	4701000	4821000	4581000	4581000	4581000	4941000	
394	4698000	4818000	4578000	4578000	4578000	4938000	
395	4695000	4815000	4575000	4575000	4575000	4935000	
396	4692000	4812000	4572000	4572000	4572000	4932000	
397	4737000	4809000	4569000	4689000	4689000	4929000	
398	4734000	4806000	4566000	4686000	4686000	4926000	
399	4803000	4923000	4683000	4683000	4683000	5043000	
400	4800000	4920000	4680000	4680000	4680000	5040000	
401	4821000	4917000	4677000	4677000	4797000	5037000	
402	4818000	4914000	4674000	4674000	4794000	5034000	
403	4815000	4911000	4671000	4671000	4791000	5031000	
404	4836000	4908000	4668000	4788000	4788000	5028000	
405	4857000	5025000	4665000	4785000	4785000	5025000	
406	4878000	5022000	4782000	4782000	4782000	5022000	
407	4923000	5019000	4779000	4899000	4899000	5019000	
408	4944000	5016000	4776000	4896000	4896000	5136000	
409	4965000	5013000	4773000	4893000	4893000	5253000	
410	4962000	5010000	4770000	4890000	4890000	5250000	
411	4959000	5007000	4767000	4887000	4887000	5247000	
412	4980000	5004000	4884000	4884000	4884000	5244000	
413	5001000	5001000	4881000	5001000	4881000	5241000	
414	5022000	4998000	4878000	4998000	4998000	5238000	
415	5043000	5115000	4875000	4995000	4995000	5235000	
416	5064000	5112000	4872000	4992000	4992000	5352000	
417	5061000	5109000	4869000	4989000	4989000	5349000	
418	5082000	5106000	4866000	4986000	4986000	5466000	
419	5103000	5103000	4863000	5103000	4983000	5463000	
420	5124000	5100000	4860000	5100000	5100000	5460000	
421	5121000	5097000	4857000	5097000	5097000	5457000	
422	5118000	5094000	4854000	5094000	5094000	5454000	
423	5115000	5091000	4851000	5091000	5091000	5451000	
424	5112000	5088000	4848000	5088000	5088000	5448000	
425	5133000	5205000	4845000	5085000	5085000	5445000	
426	5154000	5202000	4842000	5082000	5202000	5442000	
427	5151000	5199000	4839000	5079000	5199000	5439000	
428	5148000	5196000	4836000	5076000	5196000	5436000	
429	5217000	5193000	4953000	5073000	5313000	5553000	
430	5214000	5190000	4950000	5070000	5310000	5550000	
431	5211000	5187000	4947000	5067000	5307000	5547000	
432	5232000	5304000	4944000	5064000	5304000	5544000	
433	5253000	5301000	5061000	5061000	5301000	5541000	
434	5250000	5298000	5058000	5058000	5298000	5538000	
435	5247000	5295000	5055000	5055000	5295000	5535000	
436	5244000	5292000	5052000	5052000	5292000	5532000	
437	5241000	5289000	5049000	5049000	5289000	5529000	
438	5238000	5286000	5046000	5046000	5286000	5526000	
439	5283000	5283000	5043000	5163000	5403000	5523000	
440	5280000	5280000	5040000	5160000	5400000	5520000	
441	5277000	5277000	5037000	5157000	5397000	5517000	
442	5274000	5274000	5034000	5154000	5394000	5514000	
443	5271000	5271000	5031000	5151000	5391000	5511000	
444	5316000	5388000	5028000	5148000	5508000	5508000	
445	5361000	5505000	5025000	5265000	5505000	5505000	
446	5358000	5502000	5022000	5262000	5502000	5502000	
447	5403000	5619000	5019000	5259000	5619000	5499000	
448	5424000	5616000	5016000	5256000	5616000	5616000	
449	5469000	5733000	5013000	5373000	5613000	5613000	
450	5490000	5730000	5130000	5370000	5610000	5610000	
451	5487000	5727000	5127000	5367000	5607000	5607000	
452	5484000	5724000	5124000	5364000	5604000	5604000	
453	5505000	5721000	5121000	5481000	5601000	5601000	
454	5550000	5718000	5238000	5478000	5598000	5718000	
455	5595000	5835000	5355000	5475000	5595000	5715000	
456	5592000	5832000	5352000	5472000	5592000	5712000	
457	5613000	5829000	5469000	5469000	5589000	5709000	
458	5634000	5946000	5466000	5466000	5586000	5706000	
459	5631000	5943000	5463000	5463000	5583000	5703000	
460	5700000	6060000	5460000	5460000	5700000	5820000	
461	5721000	6057000	5457000	5577000	5697000	5817000	
462	5718000	6054000	5454000	5574000	5694000	5814000	
463	5715000	6051000	5451000	5571000	5691000	5811000	
464	5712000	6048000	5448000	5568000	5688000	5808000	
465	5709000	6045000	5445000	5565000	5685000	5805000	
466	5706000	6042000	5442000	5562000	5682000	5802000	
467	5727000	6159000	5439000	5559000	5679000	5799000	
468	5748000	6156000	5556000	5556000	5676000	5796000	
469	5793000	6273000	5553000	5553000	5673000	5913000	
470	5814000	6270000	5550000	5550000	5670000	6030000	
471	5835000	6267000	5667000	5547000	5667000	6027000	
472	5880000	6384000	5664000	5544000	5784000	6024000	
473	5925000	6381000	5781000	5661000	5781000	6021000	
474	5922000	6378000	5778000	5658000	5778000	6018000	
475	5919000	6375000	5775000	5655000	5775000	6015000	
476	5916000	6372000	5772000	5652000	5772000	6012000	
477	5937000	6369000	5889000	5649000	5769000	6009000	
478	5934000	6366000	5886000	5646000	5766000	6006000	
479	5955000	6363000	5883000	5643000	5883000	6003000	
480	5976000	6360000	5880000	5760000	5880000	6e+06	
481	5997000	6357000	5877000	5757000	5877000	6117000	
482	5994000	6354000	5874000	5754000	5874000	6114000	
483	6015000	6351000	5991000	5751000	5871000	6111000	
484	6060000	6348000	5988000	5868000	5868000	6228000	
485	6057000	6345000	5985000	5865000	5865000	6225000	
486	6054000	6342000	5982000	5862000	5862000	6222000	
487	6075000	6459000	5979000	5859000	5859000	6219000	
488	6072000	6456000	5976000	5856000	5856000	6216000	
489	6069000	6453000	5973000	5853000	5853000	6213000	
490	6090000	6450000	5970000	5970000	5850000	6210000	
491	6111000	6447000	6087000	5967000	5847000	6207000	
492	6108000	6444000	6084000	5964000	5844000	6204000	
493	6129000	6441000	6081000	5961000	5961000	6201000	
494	6174000	6438000	6078000	5958000	6078000	6318000	
